,HYBAS,station
0,2120022860,323
1,2121114020,215
2,2120368930,290
3,2120023040,210
4,2120382840,356
5,2120366740,249
6,2120380390,344
7,2120392600,370
8,2120349340,270
9,2120385640,375
10,2121109010,273
11,2121116060,348
12,2120370440,265
13,2121103210,280
14,2120375510,283
15,2120371920,260
16,2121106420,279
17,2120367400,278
18,2121101830,277
19,2121113760,275
20,2120385630,350
21,2120365010,269
22,2120348280,286
23,2120372120,240
