,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,PET_8,PET_9,PET_10,PET_11,PET_12
210,4.591196236559143,3.916593137254906,6.05495071684588,9.426041666666658,12.456767515923564,15.118638888888858,17.675053763440904,17.46927419354836,15.134194444444491,11.973817204301112,8.363444444444438,6.980779569892454,0.11870519713261646,0.07919117647058817,0.04800627240143365,0.04412037037037026,0.07600849256900208,0.07844444444444434,0.12768817204301086,0.13758064516129037,0.10452777777777784,0.1191397849462367,0.10475000000000013,0.120188172043011,0.03921270840486376,0.053540229524827274,0.08729596347694775,0.1369587942446599,0.16783717797136505,0.18493942615112355,0.18299574537221003,0.15720927253943864,0.11633161037245374,0.07237036403876937,0.044764375620291945,0.048319206281626524
215,4.752038530465947,4.755955882352941,6.5350582437276055,9.536365740740765,13.14816308243726,16.43840277777778,18.13415587086161,17.856624423963144,15.165833333333351,11.868913210445507,7.851587301587333,6.354569892473102,0.11931003584229424,0.10441176470588238,0.08944892473118277,0.057546296296296255,0.057571684587813594,0.10879629629629636,0.0860160233066278,0.13687275985663092,0.1288675880517167,0.11987327188940108,0.11501984126984162,0.11198156682027685,0.03858607220835071,0.06059959043412893,0.0915670018450522,0.14254253312543064,0.17910047346799404,0.18812554930820222,0.19324877267515056,0.15871245335094997,0.11308004160865831,0.06883063988459784,0.0437298632736249,0.035879830414714944
240,4.311021505376339,4.162647232037698,6.48911290322581,10.127930555555565,13.575174731182718,16.410013888888933,18.275685483871037,18.232204301075246,15.359694444444429,11.83860215053765,7.627402777777774,6.117688172043014,0.0981989247311835,0.07921083627797444,0.05701612903225823,0.04808333333333334,0.06340053763440874,0.09080555555555576,0.11233870967741978,0.13474462365591441,0.11800000000000026,0.1177822580645168,0.10416666666666712,0.1151747311827966,0.03732708073591627,0.05842529950309273,0.09576196085668921,0.14783498812025758,0.18406008025147663,0.19095747909617736,0.19309875850571737,0.16689508878554618,0.11810921055157665,0.07220197400646046,0.04068391550441459,0.036675385707136104
249,4.101303763440869,3.817491166077729,5.883077956989262,9.198569444444459,12.818131720430152,15.690861111111083,17.607809139784962,17.593252688172033,14.808194444444418,11.529865591397824,7.3895972222222355,5.969153225806429,0.1020295698924738,0.08633686690223816,0.058924731182795766,0.05418055555555559,0.061680107526881835,0.0840000000000002,0.10244623655913992,0.14166666666666689,0.11918055555555598,0.13563172043010793,0.10737500000000066,0.12537634408602227,0.033802379826448105,0.0518533986436299,0.08900668884233032,0.13651735664596523,0.17391099871919194,0.1797160303859679,0.18272962683898045,0.15634399928459536,0.10899876151209087,0.06654572411479927,0.03737671069223333,0.0335524443345243
260,4.174784946236568,4.0618521790341555,6.489018817204284,10.21390277777776,13.625282258064473,16.59640277777781,18.327365591397818,18.03766129032259,14.885361111111134,11.541478494623643,7.3546944444444495,5.895389784946223,0.10534946236559217,0.09746760895170818,0.06919354838709688,0.05462500000000004,0.07009408602150549,0.10344444444444477,0.11475806451612944,0.11172043010752714,0.09904166666666692,0.11047043010752729,0.09790277777777809,0.1281182795698933,0.03058317506094033,0.05062278741249912,0.08759334709318399,0.13815724280342148,0.16949366058026744,0.174960125469194,0.1772311244676989,0.15152959084371903,0.10538653620339677,0.06238886962777889,0.034810693805503626,0.029026357387487843
265,3.8952116935483803,4.0782448377581195,5.956031586021524,9.734392361111114,13.55683403068341,16.358253968253933,18.51523865414705,17.95400985663081,15.16655092592596,11.44419802867385,7.371233766233763,3.695353403141358,0.1111895161290324,0.10794616519174069,0.08482862903225814,0.05875000000000011,0.08584379358437941,0.07462301587301598,0.11124804381846648,0.12596326164874555,0.08636574074074083,0.08971774193548403,0.11090909090909105,0.1050610820244331,0.030626512769437713,0.04681677891694473,0.0780100751754637,0.1349109126605395,0.16515336017823934,0.18201065818862963,0.17268522015332843,0.1418973020362931,0.11033097889977543,0.06709494829254516,0.029887334453115273,0.02122590532092847
269,3.8267338709677454,3.6482773851590182,6.010013440860233,9.838652777777764,13.497755376344065,16.38072222222224,18.075094086021497,17.844771505376304,14.889652777777782,11.419072580645144,7.107347222222216,5.6227956989247,0.09706989247311908,0.08193462897526527,0.06064516129032262,0.046305555555555586,0.0659274193548388,0.09456944444444468,0.11409946236559164,0.11379032258064548,0.09822222222222246,0.10397849462365634,0.08865277777777818,0.10896505376344144,0.030915289965427386,0.050685315119301556,0.08812648280581768,0.1418103103829887,0.1758283055695472,0.18077772305688478,0.1821890628637763,0.15588781238876925,0.110601553562069,0.06583764394698512,0.035695985565323746,0.029979714793308045
270,3.561841397849462,3.48730859835101,5.543870967741937,9.012583333333357,12.590645161290277,15.434444444444447,17.40837365591396,17.59767473118279,14.816013888888882,11.341706989247337,7.0714444444444196,5.539233870967739,0.09094086021505438,0.07483804475853956,0.056330645161290493,0.04902777777777774,0.060215053763440954,0.1022638888888893,0.10723118279569924,0.1309811827956993,0.10193055555555594,0.10254032258064563,0.09065277777777811,0.11985215053763502,0.030682574341375023,0.049036865891419264,0.0852716845311292,0.13479976634453109,0.1709966387944709,0.17178097169021933,0.1772371487778715,0.1570783837290209,0.10863737655119762,0.06455701775619029,0.03598327329196322,0.029048112702252132
273,3.6156720430107545,3.584246171967026,5.953413978494626,9.786125000000045,13.44947580645164,16.11526388888888,17.843064516129047,17.823104838709646,14.73444444444441,11.251021505376368,6.978055555555572,5.496827956989252,0.09025537634408642,0.07201118963486466,0.05814516129032263,0.05094444444444447,0.07366935483870983,0.09820833333333363,0.12956989247311854,0.12181451612903287,0.10545833333333353,0.09426075268817259,0.08069444444444503,0.10165322580645231,0.02897569570828937,0.047737409579847595,0.08526737871214453,0.13976637457774657,0.17387505131390976,0.17154220218113123,0.17400227356970377,0.15421090808452473,0.10611854471512464,0.06205922493809207,0.03341072800181736,0.027844614543486274
275,3.3196774193548437,3.3516489988221374,5.969206989247324,9.88280555555555,13.471317204301162,16.60909722222224,18.18063172043014,17.97123655913976,14.649694444444444,11.123279569892428,6.783805555555541,5.18967741935482,0.11602150537634473,0.09555359246171977,0.07279569892473134,0.05159722222222226,0.07909946236559162,0.10333333333333357,0.12670698924731233,0.12197580645161317,0.09631944444444478,0.10483870967741982,0.08902777777777832,0.1383870967741942,0.02646930495033927,0.04816771511315527,0.08775731309122416,0.14090601030101219,0.17341926198334473,0.1799810327796016,0.17838742327213994,0.1543813293036686,0.10739594437862289,0.061404726573220464,0.03252234453446485,0.025017449263411366
